candidate,cell,radius_m,height_m,full_vertex_count,support_vertex_count,neighbour_count,analytic_m0_a,repaired_m0_a,relative_m0_error,fit_constraint_residual_a_m2,one_sided_condition
one_sided,256,4.406176505867,1.916253226973513,6,7,6,-10320.052131226825,-11084.19704842076,0.07404467608082664,1.1641532182693481e-10,5.476265858509939
one_sided,257,4.202036701324899,2.0433982771096177,7,3,6,-3.8045409125890246,-58.376990605955235,14.344030185820545,1.4551915228366852e-11,8.192768325372853
one_sided,258,4.406176505867,2.1705433272457215,6,6,6,-7339.036701945465,-7712.337915790486,0.05086515151859971,1.7462298274040222e-10,5.4762658585099455
one_sided,261,4.406176505867,2.424833427517931,6,5,6,-4116.231446064296,-4204.926484148805,0.02154763143100573,1.7462298274040222e-10,5.476635804599969
one_sided,277,4.406176505867,2.6791235277901393,6,5,6,-1566.7218117599587,-1771.3062605066127,0.13058122202105332,1.255102688446641e-10,5.479212111631276
one_sided,280,4.406176505867,2.9334136280623477,6,4,6,-198.6141519037241,-667.9623509194839,2.363115591296188,9.458744898438454e-11,5.484456358701441
one_sided,362,6.387330576068207,-2.7867858402568295,7,4,6,-417.4345608693954,-1132.1351192550437,1.712125984243216,1.6007106751203537e-10,8.072116369886121
one_sided,364,6.601274676413868,-2.6519196834798753,7,3,6,-105.13539489424342,-504.0141259043964,3.7939528491940178,1.4551915228366852e-10,10.178311048605517
one_sided,365,6.388171686766625,-2.5338235277901395,6,7,6,-18980.850415906076,-20456.576568162385,0.07774815774427268,4.0745362639427185e-10,5.489271243158704
one_sided,366,6.811288595232737,-2.512598104861733,6,3,5,0.0,-10.463632522521399,nan,2.9103830456733704e-11,12.603349168737955
one_sided,367,6.608393373533249,-2.406678477654035,6,7,6,-17090.521115105214,-18277.341495541445,0.06944319441419938,4.0745362639427185e-10,5.594271383441653
one_sided,368,6.8286150602998745,-2.2795334275179306,6,6,6,-12517.605181532494,-11900.953257349836,-0.04926277153176374,5.238689482212067e-10,5.83798973995167
one_sided,372,7.048836747066499,-2.1523883773818264,6,5,6,-6023.036590596682,-4086.1794014794204,-0.32157486676091795,5.238689482212067e-10,6.313429333329695
one_sided,373,7.269058433833124,-2.0252433272457218,6,4,6,-905.4417603034883,-1718.6231188655795,0.8981045432337106,2.6193447411060333e-10,7.8016808094485945
one_sided,376,7.269058433833124,-1.7709532269735133,6,6,6,-21465.902495877748,-23489.81279654655,0.09428489210073827,5.529727786779404e-10,5.528667315911271
one_sided,392,7.489280120599749,-1.6438081768374087,6,5,6,-7988.856434742126,-5120.283423433804,-0.3590717939095018,5.820766091346741e-10,6.6765015173161295
one_sided,393,7.68690337417645,-1.5018087952457913,6,4,5,-44.36322007414432,-145.47659137080814,2.2792162319974265,1.2096279533579946e-10,9.369981954977572
one_sided,395,7.489280120599749,-1.3895180765652002,6,6,6,-27725.887418749036,-28942.434665557266,0.043877666688697796,1.1059455573558807e-09,5.494792913818963
one_sided,396,7.709501807366374,-1.2623730264290958,6,6,6,-12797.181524179621,-9079.142402159903,-0.29053578047593315,3.2014213502407074e-10,6.2166216690542075
one_sided,397,7.9038302867397014,-1.1232886478940989,6,5,5,-38.13494830668086,-127.48645197724409,2.343034608359748,1.1641532182693481e-10,8.94269922073938
one_sided,399,7.709501807366374,-1.0080829261568869,6,8,6,-28101.58256468046,-28823.57635467569,0.025692282216969186,3.4924596548080444e-10,5.493806240300085
