angle_rad,retained_fraction,area_fraction,area_error,first_area_error,second_area_error,current_error,current_scaled_error,first_current_error,first_current_scaled_error,current_centroid_error_m,partition_area_error,partition_current_scaled_error,partition_first_current_scaled_error
0.6613879270715354,0.5,0.5000000000000001,2.7755575615628914e-17,3.878959614448864e-18,1.1391291203478122e-18,1.4551915228366852e-11,1.1576212762238496e-16,3.858659226461245e-12,1.2790028975995462e-16,5.721958498152797e-17,0.0,0.0,2.255004689345879e-16
0.6613879270715354,0.7,0.7665581869726347,0.0,4.690975831039127e-18,9.884986996051268e-19,0.0,0.0,2.9118037843694986e-12,9.651553192131352e-17,3.1986720415755645e-17,5.551115123125783e-17,4.630485104895398e-16,1.0422598457865148e-16
0.6613879270715354,0.85,0.9363269359225643,0.0,6.243347873798724e-18,6.867802474354099e-19,1.4551915228366852e-11,1.1576212762238496e-16,3.639754730461873e-12,1.206444149016419e-16,3.0885873398356455e-17,5.551115123125783e-17,2.315242552447699e-16,1.0658357479996219e-16
0.6613879270715354,0.95,0.9929252151025071,5.551115123125783e-17,3.720903035659322e-18,7.232530581448778e-19,2.9103830456733704e-11,2.315242552447699e-16,5.06959171195906e-12,1.6803822542237663e-16,4.1007501734589143e-17,8.326672684688674e-17,3.472863828671549e-16,1.0551235590581964e-16
0.6613879270715354,0.99,0.9997170086041,2.7755575615628914e-17,3.2344830113587533e-18,7.231578821770407e-19,2.9103830456733704e-11,2.315242552447699e-16,4.273854014328297e-12,1.416624622033916e-16,3.4501486916025534e-17,5.551115123125783e-17,4.630485104895398e-16,9.278837089744646e-17
0.6613879270715354,0.9999,0.9999999717008602,2.7755575615628914e-17,3.116579626734184e-18,1.221109269973221e-18,5.820766091346741e-11,4.630485104895398e-16,5.097003914709157e-12,1.6894683861388443e-16,4.172361578043992e-17,5.551115123125783e-17,6.945727657343098e-16,1.030484939547084e-16
0.6613879270715354,0.99999,0.9999999997170085,5.551115123125783e-17,4.198379626186978e-18,1.1383356683131417e-18,4.3655745685100555e-11,3.472863828671549e-16,4.384779890358154e-12,1.453392449544579e-16,3.5683266117477277e-17,8.326672684688674e-17,5.788106381119248e-16,9.462106551930062e-17
0.8267349088394192,1e-05,3.7744011716275417e-10,1.734723475976807e-18,2.7786426103833734e-19,5.00605247200084e-20,5.399956339962849e-11,4.2957261994182305e-16,3.264870921962055e-12,1.082184024140311e-16,2.1912015270197786e-07,5.551115123125783e-17,3.472863828671549e-16,1.1533779045647914e-16
0.8267349088394192,0.0001,3.774401111349487e-08,0.0,6.3141815108417555e-22,4.293767713291239e-22,5.065888854238754e-11,4.029971745038949e-16,2.969150642969858e-12,9.84163683003103e-17,2.088370919288416e-09,5.551115123125783e-17,2.315242552447699e-16,1.1953957914586975e-16
0.8267349088394192,0.01,0.0003774401111628273,0.0,7.199780051661553e-20,3.350752095843838e-20,6.106404271122301e-11,4.857713499935431e-16,3.1070634206309946e-12,1.0298766708292819e-16,2.52920763886146e-13,5.551115123125783e-17,4.630485104895398e-16,1.7453823120959345e-16
0.8267349088394192,0.05,0.009436002779070786,3.469446951953614e-18,7.373371937284244e-19,1.8119379094351402e-19,6.02540239924565e-11,4.793275596864377e-16,3.5854186400452145e-12,1.1884337435858073e-16,8.694409141350492e-15,5.551115123125783e-17,5.788106381119248e-16,1.3819948702442847e-16
0.8267349088394192,0.15,0.08127045642048074,1.0755285551056204e-16,2.0278928563700524e-17,3.737648415187499e-18,1.382431946694851e-10,1.099740212412657e-15,1.7316263224219958e-11,5.739701160313443e-16,9.063162369069397e-16,5.551115123125783e-17,5.788106381119248e-16,1.4244965548436675e-16
0.8267349088394192,0.3,0.2396459209956135,2.7755575615628914e-17,3.878959614448864e-18,1.1377667396452772e-18,4.729372449219227e-11,3.7622691477275113e-16,1.639614891002561e-12,5.4347172773348336e-17,2.237726045655905e-16,5.551115123125783e-17,6.945727657343098e-16,8.893503625081131e-17
0.8267349088394192,0.5,0.5000000000000001,4.163336342344337e-17,5.057544569639795e-18,1.212190886866587e-18,2.9103830456733704e-11,2.315242552447699e-16,2.2737367544323206e-12,7.536596850415688e-17,7.076311083754595e-17,2.7755575615628914e-17,2.315242552447699e-16,1.785473716779295e-16
0.8267349088394192,0.7,0.7603540790043865,5.551115123125783e-17,4.336808689942018e-18,1.567881552017597e-18,4.3655745685100555e-11,3.472863828671549e-16,3.858659226461245e-12,1.2790028975995462e-16,5.0515910130503314e-17,5.551115123125783e-17,4.630485104895398e-16,1.6636087977272547e-16
0.8267349088394192,0.85,0.9187295435795192,2.7755575615628914e-17,5.8265149833968216e-18,1.2649670687637836e-18,1.4551915228366852e-11,1.1576212762238496e-16,5.0651282003731154e-12,1.6789027651274647e-16,4.422694427346622e-17,2.7755575615628914e-17,2.315242552447699e-16,1.5073193700831375e-16
0.8267349088394192,0.95,0.9905639972209291,2.7755575615628914e-17,6.1331736667334966e-18,6.863120717241807e-19,4.3655745685100555e-11,3.472863828671549e-16,4.4545986319797945e-12,1.4765347815308962e-16,3.655546440704558e-17,5.551115123125783e-17,4.630485104895398e-16,1.7248971852878207e-16
0.8267349088394192,0.99,0.9996225598888371,2.7755575615628914e-17,2.2752151665091472e-18,1.386393742128294e-18,5.820766091346741e-11,4.630485104895398e-16,5.362597410144533e-12,1.777502812168471e-16,4.322963010409958e-17,5.551115123125783e-17,5.788106381119248e-16,8.685498714887625e-17
0.8267349088394192,0.9999,0.9999999622559888,5.551115123125783e-17,8.186123873005104e-19,1.245211339292883e-18,5.820766091346741e-11,4.630485104895398e-16,6.14862153060786e-12,2.038040752591292e-16,4.9413458144052443e-17,5.551115123125783e-17,5.788106381119248e-16,7.669667691057324e-17
0.8267349088394192,0.99999,0.9999999996225599,2.7755575615628914e-17,7.689026221506836e-19,1.4194920234000125e-18,7.275957614183426e-11,5.788106381119248e-16,6.45573338199939e-12,2.1398369788875334e-16,5.2260344188500165e-17,2.7755575615628914e-17,5.788106381119248e-16,1.1713590635219783e-16
0.992081890607303,1e-05,1.1508508224670039e-09,1.734723475976807e-18,2.7669905056838643e-19,4.965616095872933e-20,5.7181934344898225e-11,4.548887398976311e-16,2.898898840120648e-12,9.60877807228026e-17,8.000523081106329e-08,5.551115123125783e-17,2.315242552447699e-16,6.238355161766596e-17
