tree_sha	window_index	member_id	role	chord_index	radius_m	height_m	psi_norm	electron_temperature_ev	electron_density_m-3	net_current_a	thomson_cocos	temperature_unit	density_unit	net_current_unit	support_method	supported	temperature_error_bound_ev	density_error_bound_m-3	net_current_support
bd3cca1f179fa063eac4d2061c2720906e32c1c7	2	pressure-high	counterfactual	5	1.25	0.04	0.11925448353498483	7225.5591373487605	1.1778186379116254e+20	1030000.0	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055737	1.4368127893519104e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	2	field-high	counterfactual	0	0.94	-0.08	0.1707480296421047	6943.316933305266	1.1502438977768422e+20	1030000.0	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055737	1.4368127893519104e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	2	field-high	counterfactual	1	1.03	-0.03	0.0322471175102337	7115.814661867325	1.1559938220622442e+20	1030000.0	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055737	1.4368127893519104e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	2	field-high	counterfactual	2	1.12	0.02	0.005243118958609712	7136.067660781044	1.1566689220260348e+20	1030000.0	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055737	1.4368127893519104e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	2	field-high	counterfactual	3	1.0	0.12	0.14186573431139235	7008.302097799368	1.1524100699266456e+20	1030000.0	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055737	1.4368127893519104e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	2	field-high	counterfactual	4	1.15	0.09	0.06300490339201895	7092.746322455987	1.1552248774151995e+20	1030000.0	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055737	1.4368127893519104e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	2	field-high	counterfactual	5	1.25	0.04	0.11930447290256022	7050.5216453230805	1.153817388177436e+20	1030000.0	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055737	1.4368127893519104e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	2	current-low	counterfactual	0	0.94	-0.08	0.17067346623292876	6838.484700975911	1.1922494900325304e+20	980000.0	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.104383680557234	1.4368127893519078e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	2	current-low	counterfactual	1	1.03	-0.03	0.032214019029673364	7010.839485727746	1.1979946495242582e+20	980000.0	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.104383680557234	1.4368127893519078e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	2	current-low	counterfactual	2	1.12	0.02	0.005251485406664983	7031.061385945002	1.1986687128648334e+20	980000.0	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.104383680557234	1.4368127893519078e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	2	current-low	counterfactual	3	1.0	0.12	0.1418188141879601	6903.40766807709	1.194413588935903e+20	980000.0	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.104383680557234	1.4368127893519078e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	2	current-low	counterfactual	4	1.15	0.09	0.0630270914829461	6987.729681387791	1.1972243227129263e+20	980000.0	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.104383680557234	1.4368127893519078e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	2	current-low	counterfactual	5	1.25	0.04	0.11937273313639359	6945.470450147705	1.1958156816715902e+20	980000.0	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.104383680557234	1.4368127893519078e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	3	truth	truth	0	0.94	-0.08	0.170697053330686	7013.431630005956	1.1646477210001985e+20	1044999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.104383680557156	1.4368127893519053e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	3	truth	truth	1	1.03	-0.03	0.032224487981351656	7185.831634013986	1.1703943878004662e+20	1044999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.104383680557156	1.4368127893519053e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	3	truth	truth	2	1.12	0.02	0.0052488362122643465	7206.063372840802	1.1710687790946933e+20	1044999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.104383680557156	1.4368127893519053e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	3	truth	truth	3	1.0	0.12	0.14183365585499805	7078.374274326255	1.1668124758108751e+20	1044999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.104383680557156	1.4368127893519053e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	3	truth	truth	4	1.15	0.09	0.0630200695731858	7162.73494782011	1.1696244982606704e+20	1044999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.104383680557156	1.4368127893519053e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	3	truth	truth	5	1.25	0.04	0.11935113550876782	7120.4866483684245	1.1682162216122809e+20	1044999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.104383680557156	1.4368127893519053e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	3	pressure-high	counterfactual	0	0.94	-0.08	0.17082626245964455	7188.1409094658	1.1646380303155267e+20	1044999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055679	1.4368127893518922e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	3	pressure-high	counterfactual	1	1.03	-0.03	0.03228185767310762	7360.788606745169	1.1703929535581723e+20	1044999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055679	1.4368127893518922e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	3	pressure-high	counterfactual	2	1.12	0.02	0.005234366466817741	7381.074225149887	1.1710691408383295e+20	1044999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055679	1.4368127893518922e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	3	pressure-high	counterfactual	3	1.0	0.12	0.14191497202582154	7253.191312941902	1.1668063770980634e+20	1044999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055679	1.4368127893518922e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	3	pressure-high	counterfactual	4	1.15	0.09	0.06298165334867167	7337.7637599884965	1.1696254586662832e+20	1044999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055679	1.4368127893518922e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	3	pressure-high	counterfactual	5	1.25	0.04	0.11923289768736195	7295.575326734479	1.168219177557816e+20	1044999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055679	1.4368127893518922e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	3	field-high	counterfactual	0	0.94	-0.08	0.17077162353914968	7013.263847036913	1.1406421282345638e+20	1044999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055731	1.4368127893519104e+17	typed window plasma-current conservation ledger
