cell,radius_m,height_m,topology_zero,oracle_current_a,attributed_current_a,current_error_a,centroid_error_mm,oracle_radial_first_am,attributed_radial_first_am,oracle_vertical_first_am,attributed_vertical_first_am,first_error_norm_am,attribution_roundoff_current_a,attribution_roundoff_first_am
446,8.149945180899623,1.2805279762929915,False,-5800.533640145088,-5790.044518142802,10.489122002285512,0.9670808385843368,531.8881878605187,525.5244058936063,134.45345177122533,135.684257222986,6.481712966684258,4.5201886678114533e-10,6.102628148923309e-11
456,7.929723494132999,1.4076730264290962,False,-28706.14987876431,-28650.59741277201,55.5524659922994,0.08104905836046049,-89.15214802808471,-91.02377655578847,-14.412700523559813,-13.283178382182106,2.1860497738105225,2.6193447411060333e-10,5.2395854943449984e-11
458,8.14954945717306,1.5348115779080669,False,-335.7432905753996,-356.357003743694,-20.613713168294396,6.83492633180407,40.69539405507797,40.782521445245656,7.560294931642239,8.367082327716904,0.811478332786755,3.313971319585107e-11,4.976257845221009e-12
513,7.929723494132999,1.6619631267013046,False,-21674.81656951468,-21790.65158662539,-115.83501711070858,0.7206157556300146,785.2244850030273,773.760980243683,275.0808233921643,277.70907699695005,11.760937818838249,2.9103830456733704e-10,3.144936316317183e-11
516,7.929723494132999,1.916253226973513,False,-6961.6348632935715,-6918.480784431035,43.15407886253615,0.7970847106536822,572.3878491820994,564.6795208391128,257.4131404896515,252.19755531690865,9.307021786663345,4.474713932722807e-10,6.07578242152243e-11
518,7.709501807366374,2.0433982771096177,False,-26923.54139970427,-26936.167454198345,-12.626054494074197,0.2081182766867746,253.17191834506588,248.26046449585712,136.0857659015387,138.62415316008892,5.528633537075646,2.9831426218152046e-10,2.347880929594823e-11
520,7.922022796754473,2.1669592221629217,False,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
521,7.709501807366374,2.297688377381826,False,-10303.14343177628,-10366.748581045536,-63.6051492692568,1.8936154496745292,694.6178594623831,682.3152657518551,407.96054429794145,399.98572703456364,14.661225132661693,4.838511813431978e-10,6.188442006056825e-11
542,7.489280120599749,2.424833427517931,False,-26495.65370875317,-26537.67460709999,-42.02089834682192,0.04257880428289654,295.8000959747067,295.7875953814481,203.8762359629174,203.1774167099901,0.6989310503144769,2.7284841053187847e-10,2.976312129428357e-11
544,7.704878286742391,2.5485563500631163,False,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
545,7.489280120599749,2.6791235277901393,False,-5860.186714377638,-5844.972075131746,15.214639245891703,1.1269971255239866,419.0869003976033,413.1675365238634,311.62210702676987,306.3352592843273,7.93660051416894,3.510649548843503e-10,4.729594488611886e-11
551,7.269058433833124,2.806268577926244,False,-19109.888823593603,-19190.30391173067,-80.41508813706605,0.49658308582150495,627.9156169905409,621.0283283281989,564.9082938039397,567.2822259313795,7.2849364351458545,2.9831426218152046e-10,3.3336617669794634e-11
553,7.269058433833124,3.0605586781984524,False,-320.3961452502843,-360.47279147665944,-40.076646226375146,6.823614936833233,26.048604025419692,27.696390247262165,28.537021193781435,30.247380879748555,2.3749799342890117,3.0524915928253904e-11,4.473310941472808e-12
554,7.048836747066499,3.187703728334557,False,-3779.7450740185777,-3802.4828802365178,-22.737806217940033,1.5093364387845236,238.41766561554212,236.11564546726134,252.78799871877436,249.95220457753723,3.652536813581141,2.473825588822365e-10,3.3095271428790446e-11
557,6.8286150602998745,3.3148487784706617,False,-8521.855283504527,-8595.635983241455,-73.780699736928,1.8561398642096338,372.10099494644396,370.11539350442183,483.5343865618686,472.63970122540263,11.074149252523494,3.2741809263825417e-10,4.167382513425619e-11
558,6.608393373533249,3.4419938286067655,False,-11434.370926486334,-11532.279557628515,-97.90863114218155,1.0186742724979883,366.9682769686871,363.0690384126691,568.9515707988537,564.4198656556044,5.978328597700981,3.001332515850663e-10,4.002035058636793e-11
559,6.388171686766625,3.5691388787428693,False,-11504.289704188492,-11535.76997821901,-31.480274030518558,0.6241158842052753,292.5837622520418,289.51410722291064,552.1446763507189,547.5846476294818,5.496966794185491,2.7830537874251604e-10,3.9492760419311586e-11
562,6.388171686766625,3.8234289790150786,False,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
